Timestamp,How important are breasts to you when evaluating a potential romantic partner?  ,How important are buttocks to you when evaluating a potential romantic partner?  ,How important is intelligence to you in a partner?  ,How important is overall sexiness to you in a partner?,"To what extent do you agree with this statement: ""Everyone should have an equal chance and an equal say in society.""","To what extent do you agree with this statement: ""I like to possess things or achievements that impress others.""",What is your gender identity? ,What is your age? (Optional),What country are you from? (Optional),  What is your current relationship status? (Optional)  
8/29/2026 19:11:13,1,1,4,2,5,1,Male,17,,In a romantic relationship
8/29/2026 19:11:55,2,2,4,2,5,1,Male,17,,In a romantic relationship
8/29/2026 19:14:46,3,4,4,4,4,5,Male,,,Single
8/29/2026 19:22:39,3,3,5,3,3,3,Prefer not to say,,,Married
8/29/2026 19:27:07,2,2,1,2,5,5,Male,17,,Single
8/29/2026 19:28:28,3,4,5,4,2,4,Male,17,,Single
8/29/2026 19:29:07,4,3,5,4,5,5,Male,16,,Single
8/29/2026 19:35:59,1,3,5,4,2,5,Male,17,,Single
8/29/2026 19:37:51,4,4,4,5,3,3,Male,17,,In a romantic relationship
8/29/2026 19:40:34,3,3,5,5,5,4,Male,17,,Single
8/29/2026 19:40:43,2,3,5,4,4,2,Male,,,
8/29/2026 19:41:24,3,2,5,4,3,3,Male,,,Single
8/29/2026 19:50:48,3,5,4,2,4,4,Male,43,,Single
8/29/2026 20:03:36,5,2,4,3,3,1,Male,16,,Single
8/29/2026 20:14:27,2,3,4,3,4,2,Prefer not to say,,,Single
8/29/2026 20:15:24,4,5,3,4,5,2,Male,17,,In a romantic relationship
8/29/2026 20:18:53,2,2,5,3,5,5,Male,,,
8/29/2026 20:22:18,2,2,4,3,5,3,Male,,,Single
8/29/2026 20:23:02,4,3,1,5,2,3,Male,,,
8/29/2026 20:24:11,5,3,5,5,3,3,Male,18,,Single
8/29/2026 20:25:34,2,3,5,4,4,4,Male,17,,In a romantic relationship
8/29/2026 20:34:21,3,4,3,4,3,5,Male,,,In a romantic relationship
8/29/2026 20:34:30,2,2,4,3,4,5,Male,16,,Single
8/29/2026 20:36:29,3,3,3,2,4,2,Male,17,,In a romantic relationship
8/29/2026 20:43:20,2,3,4,4,3,2,Male,16,,Single
8/29/2026 20:59:12,1,1,5,4,5,2,Male,17,,Single
8/29/2026 21:13:28,4,5,5,5,2,3,Male,15,,In a romantic relationship
8/29/2026 21:32:46,4,2,5,5,5,2,Male,17,,In a romantic relationship
8/29/2026 22:36:08,2,4,5,2,4,1,Male,17,,Single
8/29/2026 22:52:57,4,2,5,3,3,5,Female,20,,Single
8/29/2026 23:00:04,3,2,5,4,5,5,Non-binary,18,,In a romantic relationship
8/29/2026 23:23:54,3,4,5,2,5,1,Male,17,,Single
8/30/2026 7:17:43,5,5,5,5,5,2,Male,17,,Single
8/30/2026 10:24:35,4,2,4,5,4,3,Male,32,Netherlands,Single
8/30/2026 10:30:39,1,1,5,2,4,2,Male,34,Finland,In a romantic relationship
